,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
337,La Plata,0,AR,1611796610,73,-34.9215,-57.9545,75.0,1.99
338,George,0,ZA,1611796610,88,-33.963,22.4617,55.4,2.3
339,Jiamusi,100,CN,1611796610,91,46.8333,130.35,-4.54,3.62
340,Adrar,0,MR,1611796610,25,20.5022,-10.0711,64.98,10.33
341,Okha,100,RU,1611796611,95,53.5739,142.9478,10.26,16.64
342,Lavrentiya,97,RU,1611796611,88,65.5833,-171.0,-0.35,16.26
343,Iranshahr,0,IR,1611796611,13,27.2025,60.6848,41.0,6.91
344,Cartagena,0,CO,1611796491,83,10.3997,-75.5144,78.8,11.5
345,Kotagiri,20,IN,1611796611,94,11.4333,76.8833,64.4,3.44
346,Alice,1,US,1611796612,29,27.7523,-98.0697,64.4,8.05
347,Bălceşti,0,RO,1611796612,80,44.6167,23.95,28.99,9.22
348,Laas,100,IT,1611796612,87,46.6166,10.7002,27.0,6.02
349,Gashua,72,NG,1611796612,18,12.871,11.0482,66.81,9.78
350,Labuhan,100,ID,1611796612,78,-6.8844,112.2051,80.51,7.52
351,Asmara,2,ER,1611796612,60,15.3333,38.9333,52.12,0.89
352,Tselinnoye,100,RU,1611796613,97,53.0833,85.6667,18.79,14.7
